Id;Label
0;Разработка граф(PK-1,PK-2)
1;Разработка комп(PK-2,PK-3)
2;Программное обе(PK-2,PK-3,PK-5)
3;Адаптивные сист(PK-1,PK-2,UK-2)
4;Технологии разр(PK-2,PK-3,PK-4,UK-3)
5;Параллельное пр(PK-4,PK-5)
6;Разработка прог(PK-1,PK-4)
7;Орг. науч-иссл. и проект. деят.(OPK-3,OPK-4)
8;Английский язык(UK-4,UK-5)
9;Английский язык(UK-4,UK-5,UK-6)
10;Научно-исследов(OPK-3,OPK-4)
11;Интернет вещей(OPK-5,OPK-6)
12;Системы искусст(OPK-7)
13;Контрольно-изме(OPK-5,OPK-6)
14;Теория систем и(OPK-5,OPK-6,UK-1)
15;Методы оптимиза(OPK-2,OPK-8)
16;Интеллектуальны(OPK-2)
17;Моделирование с(OPK-1,OPK-2)
18;Управление прое(OPK-8,UK-2,UK-3)
19;Ознакомительная(OPK-3,UK-6)
20;Научно-исследов(OPK-1,OPK-4)
21;Академическое п(UK-4)
22;Анализ требован(UK-3)
