Id;Label
0;Высокопроизводи(PK-4)
1;Организация и у(PK-5,UK-1)
2;Построение корп(PK-3)
3;Адаптивные сист(PK-1,PK-2,UK-2)
4;Организация обл(PK-1,PK-5)
5;Протоколы маршр(PK-3)
6;Методы оптимиза(PK-3)
7;Орг. науч-иссл. и проект. деят.(OPK-3,OPK-4)
8;Английский язык(UK-4,UK-5)
9;Английский язык(UK-4,UK-5,UK-6)
10;Научно-исследов(OPK-3,OPK-4)
11;Интернет вещей(OPK-5,OPK-6)
12;Системы искусст(OPK-7)
13;Контрольно-изме(OPK-5,OPK-6)
14;Теория систем и(OPK-5,OPK-6,UK-1)
15;Методы оптимиза(OPK-2,OPK-8)
16;Интеллектуальны(OPK-2)
17;Моделирование с(OPK-1,OPK-2)
18;Управление прое(OPK-8,UK-2,UK-3)
19;Ознакомительная(OPK-3,UK-6)
20;Научно-исследов(OPK-4,UK-6)
21;Академическое п(UK-4)
22;Анализ требован(UK-3)
