Source;Target;Type;Weight
0;1;Undirected;0.0443548
0;2;Undirected;0.0443548
0;3;Undirected;0.0806452
0;4;Undirected;0.0483871
0;6;Undirected;0.0403226
1;2;Undirected;0.0645161
1;3;Undirected;0.0282258
1;4;Undirected;0.0725806
2;3;Undirected;0.0282258
2;4;Undirected;0.0725806
2;5;Undirected;0.0403226
3;4;Undirected;0.0322581
3;6;Undirected;0.0241935
3;18;Undirected;0.0241935
4;5;Undirected;0.0443548
4;6;Undirected;0.0322581
4;18;Undirected;0.0322581
4;22;Undirected;0.0282258
5;6;Undirected;0.0362903
7;10;Undirected;0.145161
7;19;Undirected;0.0362903
7;20;Undirected;0.0604839
8;9;Undirected;0.0483871
8;21;Undirected;0.0201613
9;19;Undirected;0.0241935
9;21;Undirected;0.0201613
10;19;Undirected;0.0604839
10;20;Undirected;0.0846774
11;13;Undirected;0.0483871
11;14;Undirected;0.0483871
13;14;Undirected;0.0483871
15;16;Undirected;0.0322581
15;17;Undirected;0.0322581
15;18;Undirected;0.0241935
16;17;Undirected;0.0403226
17;20;Undirected;0.0564516
18;22;Undirected;0.0201613
